1,Which team has kick off?
2,Which team will lead at halftime?
3,Rest of match
4,Winner Penalties
5,3-way (OT only!) Football
6,Total (OT only!)
7,Who wins the rest of the match (OT only!)?
8,Which player will win the match?
9,Which player will win the set?
10,Which player will win games x and y of set n?
11,"Next goal "
12,Next Goal (OT only!)
13,Next goal (Penalty shootout)
14,Draw No Bet
15,Who wins the period?
16,Final Result (in sets - best of 3)
17,Final Result (in sets - best of 5)
18,Halftime - Who wins the rest?
19,1st Half - Total
20,Halftime - 3way
21,Number of sets (best of 3)
22,Number of sets (best of 5)
23,Correct score
24,Double Chance (ALL)
25,Goals home team
26,Correct score first half flex
27,Goal/No goal
28,Odd/Even
29,Goals away team
30,Asian total
31,Handicap BASKETBALL(ASIAN??) WRONG
32,Asian total first half
33,Asian handicap first half
34,"Which team will win the match, including overtime? (BASKETBALL)"
35,Handicap (BASKETBALL)
36,"Total for whole match, including overtime (BASKETBALL)"
37,Odd/Even for whole match including overtime
38,Draw No Bet for first period
39,Who wins the rest of the first period?
40,Total for first period
41,Asian handicap for first period
42,Odd/Even for first period
43,Draw no Bet for second period
44,Total for second period
45,Asian handicap for second period
46,Draw No Bet for third period
47,Total for third Period
48,Asian handicap for third period
49,Draw no Bet for fourth period
50,Total for fourth period
51,Asian handicap for fourth period
52,Who wins the rest of the second period?
53,Odd/Even for second period
54,Odd/Even for third period
55,Odd/Even for fourth period
56,Draw No Bet first half
57,Odd/Even for first half
58,Will there be overtime?
59,Who scores Xth point
60,Which team wins jump ball?
61,Which team wins race to X points
62,How many sets will exceed score limit
63,Odd/Even for fifth period
64,Total for fifth period
65,"Which team wins race to X points, first set?"
66,"Which team wins race to X points, second set?"
67,"Which team wins race to X points, third set?"
68,"Which team wins race to X points, fourth set?"
69,"Which team wins race to X points, fifth set?"
70,Asian handicap for fifth period
71,Who scores Xth point first set
72,Who scores Xth point second set
73,Who scores Xth point third set
74,Who scores Xth point fourth set
75,Who scores Xth point fifth set
76,"Winning margins, handball"
77,Total number of games
78,Total number of games in set 1
79,Total number of games in set 2
80,Total number of games in set 3
81,Total number of games in set 4
82,Total number of games in set 5
83,Who wins game X of set 1?
84,Who wins game X of set 2?
85,Who wins game X of set 3?
86,Who wins game X of set 4?
87,Who wins game X of set 5?
88,Odd/Even number of games
89,Odd/Even number of games in set
90,Score of game X of set 1
91,Score of game X of set 2
92,Score of game X of set 3
93,Score of game X of set 4
94,Score of game X of set 5
95,Handicap for first half
96,Winner VOLLEYBALL
97,Winner Set X VOLLEYBALL
98,Correct score flex
99,Correct score flex
100,"Which team will win the match, incl. OT and penalties? (ICE HOCKEY)"
101,1st Half Next Goal
102,Score of game X of set 1 or break
103,Score of game X of set 2 or break
104,Score of game X of set 3 or break
105,Score of game X of set 4 or break
106,Score of game X of set 5 or break
107,Asian handicap Overtime
108,Asian handicap Overtime first Half
109,Overtime first half 3way
110,Overtime Correct score flex
111,Overtime first half Correct score flex
112,When will next goal be scored
113,Highest Scoring Half
114,Cornerbet
115,1st Half - Cornerbet
116,Corner Handicap
117,1st Half - Corner Handicap
118,Total Corners
119,Total Corners (aggregated)
120,1st Half - Total Corners
121,1st Half - Total Corners (aggregated)
122,Corners hometeam
123,Corners awayteam
124,Total Corners hometeam
125,Total Corners awayteam
126,1st Half - Corners hometeam
127,1st Half - Corners awayteam
128,1st Half - Total Corners hometeam
129,1st Half - Total Corners awayteam
130,Corners Odd/Even
131,1st Half - Corners Odd/Even
132,Exact number of goals
133,1st Half - Exact number of goals
134,Total hometeam
135,Total awayteam
136,1st Half - Goals hometeam
137,1st Half - Goals awayteam
138,Anytime Goal scorer
139,Next Goal scorer
140,Bookingbet
141,Total Bookings
142,Total Bookings (excactly)
143,Sending off?
144,Bookings Hometeam
145,Bookings Awayteam
146,Total Booking Points
147,Total Booking Points (aggregated)
148,1st Half - Total Bookings
149,1st Half - Total Bookings (exactly)
150,1st Half - Bookings Hometeam
151,1st Half - Bookings Awayteam
152,1st Half - Total Booking Points
153,1st Half - Total Booking Points (aggregated)
154,Matchbet and Totals
155,Goals home team
156,Goals away team
157,Correct score flex
158,Correct score first half flex
159,"Who wins the rest of the match, including overtime?"
160,"Winning margins, including overtime"
161,Maximum period total score
162,Which team gets highest score for period
163,Will there be an 18th half-inning (baseball)?
164,Total for sixth period
165,Total for seventh period
166,Total for eighth period
167,Total for ninth period
168,Total for tenth period
169,Who scores Xth point?
170,Who advances to next round?
171,How will the match be decided?
172,"Winning margins american football, including overtime"
173,1st Half - Total hometeam
174,1st Half - Total awayteam
175,"Next points (team), including overtime"
176,"Next points (kind), including overtime"
177,Next points (team) halftime
178,Halftime/fulltime
179,Highest Scoring Quarter
180,Winner
181,Lay Winner
182,Place
183,Lay Place
184,Straight Forecast
185,Dual Forecast
186,Straight Tricast
187,Dual Tricast
188,Which Team to Score?
189,Correct score AAMS-logic
190,2nd Half - 3way
191,2nd Half - Double chance (1X - 12 - X2)
192,2nd Half - Draw No Bet
193,2nd Half - Handicap
194,2nd Half - Total
195,Halftime - Double chance (1X - 12 - X2)
196,Winning margins Rugby
197,Halftime - Winning margins Rugby
198,Total margins Rugby
199,Halftime - Total margins Rugby
200,Which team will lead after 5 innings
201,Total after 5 innings
202,Final Result (in sets - best of 7)
203,Number of sets (best of 7)
204,Odd/Even for sixth period
205,Odd/Even for seventh period
206,Asian handicap for sixth period
207,Asian handicap for seventh period
208,Who scores Xth point sixth set
209,"Which team wins race to X points, sixth set?"
210,"Which team wins race to X points, seventh set?"
211,Who scores Xth point seventh set
212,How many sets will exceed score limit
213,Asian leg handicap for first set
214,Asian leg handicap for second set
215,Asian leg handicap for third set
216,Asian leg handicap for fourth set
217,Asian leg handicap for fifth set
218,Asian leg handicap for sixth set
219,Asian leg handicap for seventh set
220,Asian leg handicap for eighth set
221,Asian leg handicap for ninth set
222,Asian leg handicap for tenth set
223,Asian leg handicap for eleventh set
224,Asian leg handicap for twelfth set
225,Asian leg handicap for thirteenth set
226,Who wins Xth leg first set
227,Who wins Xth leg second set
228,Who wins Xth leg third set
